index,dna_biosample,sequence_data_type,ampliconlibrary_quantification_ng.ul,plate_ID,well_location,sample_or_blank,sample_spiked_blank,spiked_volume,swab_presence,MK_spike,Sequencer,sample_name.y,animal_biosample,DNA_data_type,sample_type,dna_experiment_date,dna_extraction_success,Basidiobolus_present,Ct_value,copy_number,DNA.QC.ng.ul.fluorometer,DNA.QC.A260.280,qualitative_visualization.1_5.scale,culture_biosample,sample_name,becky_hardman_id,bh_id_prefix,zoo_nashville_id,pit,tank_number,hatch_date,sex,weight,total_length,terbinafine,river.water,diet_crayfish,last_crayfish_feeding,dataset,env_broad_scale,env_medium,storage_medium,host_pooped,host_taxon,host_genus,host_species,svl,animal_type,animal_ecomode,collection_date,state,county,ecoregion_III,ecoregion_IV,site,gps_n,gps_w,walker_wash_swab_protocol,data_type,collector,notes_host,notes_lab
UHM739_34518,21889,16S_amplicon,77,UHM_Hellbender_P1_CEC,F11,sample,sample,1,1,1,NA,UHM739,12628,DNA,fecal,12/18/2023,NA,NA,NA,NA,NA,NA,NA,12628,UHM739,18ZB-6,18ZB,7306,3D6153439 6DBD,NA,10/5/2018,M,NA,NA,0,NA,1,4/20/2023,uhm,zoo,fecal,water - DNA,Y,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,5/9/2023,TN,davidson,Interior Plateau,NA,Nashville Zoo,36.09,-86.74,0,metadata,Sherri Doro,,
UHM739_34519,21890,16S_amplicon,80,UHM_Hellbender_P1_CEC,G11,sample,sample,1,1,1,NA,UHM739,11907,DNA,fecal,12/18/2023,NA,NA,NA,NA,NA,NA,NA,11907,UHM739,18ZB-6,18ZB,7306,3D6153439 6DBD,NA,10/5/2018,M,251,33.5,NA,NA,1,2/15/2023,uhm,zoo,fecal,water,Y,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,2/21/2023,TN,davidson,Interior Plateau,NA,Nashville Zoo,36.09,-86.74,0,metadata,Sherri Doro,,
UHM740_34517,21888,16S_amplicon,66,UHM_Hellbender_P1_CEC,E11,sample,sample,1,1,1,NA,UHM740,11911,DNA,fecal,12/18/2023,NA,NA,NA,NA,NA,NA,NA,11911,UHM740,18ZB-11,18ZB,7311,3D6153439 2928,NA,10/5/2018,F,NA,NA,0,NA,1,4/20/2023,uhm,zoo,fecal,water - DNA,Y,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,5/17/2023,TN,davidson,Interior Plateau,NA,Nashville Zoo,36.09,-86.74,0,metadata,Sherri Doro,,
UHM744_34516,21886,16S_amplicon,40,UHM_Hellbender_P1_CEC,D11,sample,sample,1,1,1,NA,UHM744,11921,DNA,cloacal swab,12/14/2023,NA,NA,NA,NA,NA,NA,NA,11921,UHM744,18ZB-38,18ZB,7338,3D61533F4 DD7F,NA,10/5/2018,M,206.6,29.8,NA,NA,1,2/15/2023,uhm,zoo,cloaca swab,dry,N,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,2/22/2023,TN,davidson,Interior Plateau,NA,Nashville Zoo,36.09,-86.74,0,metadata,Sherri Doro,,
UHM746_34444,21452,16S_amplicon,52,UHM_Hellbender_P1_CEC,D2,sample,sample,1,1,1,NA,UHM746,11927,DNA,cloacal swab,12/1/2023,NA,NA,NA,NA,NA,NA,NA,11927,UHM746,18ZB-39,18ZB,7339,3D6153439 659A,NA,10/5/2018,M,121.6,25.8,NA,NA,0,,uhm,zoo,cloaca swab,dry,N,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,2/22/2023,TN,davidson,Interior Plateau,NA,Nashville Zoo,36.09,-86.74,0,metadata,Sherri Doro,,
UHM746_34466,21501,16S_amplicon,47,UHM_Hellbender_P1_CEC,B5,sample,sample,1,1,1,NA,UHM746,11928,DNA,cloacal swab,12/6/2023,NA,NA,NA,NA,NA,NA,NA,11928,UHM746,18ZB-39,18ZB,7339,3D6153439 659A,NA,10/5/2018,M,142.2,25.5,0,NA,0,,uhm,zoo,cloaca swab,dry,N,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,5/1/2023,TN,davidson,Interior Plateau,NA,Nashville Zoo,36.09,-86.74,0,metadata,Sherri Doro,,
UHM746_34488,21857,16S_amplicon,59,UHM_Hellbender_P1_CEC,H7,sample,sample,1,1,1,NA,UHM746,11929,DNA,cloacal swab,12/12/2023,NA,NA,NA,NA,NA,NA,NA,11929,UHM746,18ZB-39,18ZB,7339,3D6153439 659A,NA,10/5/2018,M,177.4,28,0,NA,0,,uhm,zoo,cloaca swab,dry,N,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,11/7/2023,TN,davidson,Interior Plateau,NA,Nashville Zoo,36.09,-86.74,0,metadata,Sherri Doro,,
UHM746_34543,34054,16S_amplicon,51,UHM_Hellbender_P2_CEC,G2,sample,sample,1,1,1,NA,UHM746,22889,DNA,cloacal swab,6/5/2024,NA,NA,NA,NA,NA,NA,NA,22889,UHM746,18ZB-39,18ZB,7339,3D6153439 659A,NA,10/5/2018,M,185,30,NA,NA,1,12/19/2023,uhm,zoo,cloaca swab,dry,N,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,1/23/2024,TN,davidson,Interior Plateau,NA,Nashville Zoo,36.09,-86.74,0,metadata,Sherri Doro,,
UHM747_34443,21451,16S_amplicon,45,UHM_Hellbender_P1_CEC,C2,sample,sample,1,1,1,NA,UHM747,11930,DNA,cloacal swab,12/1/2023,NA,NA,NA,NA,NA,NA,NA,11930,UHM747,18ZB-37,18ZB,7337,3D6153439 4E4C,NA,10/5/2018,M,138.6,27.5,NA,NA,0,,uhm,zoo,cloaca swab,dry,N,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,2/22/2023,TN,davidson,Interior Plateau,NA,Nashville Zoo,36.09,-86.74,0,metadata,Sherri Doro,,
UHM747_34465,21500,16S_amplicon,51,UHM_Hellbender_P1_CEC,A5,sample,sample,1,1,1,NA,UHM747,11931,DNA,cloacal swab,12/6/2023,NA,NA,NA,NA,NA,NA,NA,11931,UHM747,18ZB-37,18ZB,7337,3D6153439 4E4C,NA,10/5/2018,M,155.6,28.5,0,NA,0,,uhm,zoo,cloaca swab,dry,N,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,5/1/2023,TN,davidson,Interior Plateau,NA,Nashville Zoo,36.09,-86.74,0,metadata,Sherri Doro,,
